18807, 2, 140422858789408
18807, 2, 140422858789408
18816, 2, 140422858789404
18822, 2, 49708
18807, 2, 140422858789408
17764, 1, 49736
17805, 1, 49720
18872, 2, 140422858789408
18876, 2, 140422858789424
17840, 1, 49664
17847, 1, 49672
17863, 1, 140422857744760
18816, 2, 140422858789404
18822, 2, 49708
18872, 2, 140422858789408
18876, 2, 140422858789424
18816, 2, 140422858789404
18822, 2, 49708
18872, 2, 140422858789408
18876, 2, 140422858789424
18816, 2, 140422858789404
18912, 2, 140422858789384
18916, 2, 140422858789360
18919, 2, 140422858789368
18923, 2, 140422858789440
18927, 2, 140422858789472
18931, 2, 140422858789376
18935, 2, 140422858789488
18946, 2, 49656
18965, 2, 140422858789384
18969, 2, 140422858789392
18975, 2, 140422858789404
18986, 2, 140422858789400
18993, 2, 140422858789408
19002, 2, 140422858789416
19049, 2, 28392
19057, 2, 28400
19072, 2, 49712
19099, 2, 49712
17891, 1, 49720
19111, 2, 49652
17840, 1, 49664
17847, 1, 49672
17863, 1, 140422857744760
17891, 1, 49720
17840, 1, 49664
17847, 1, 49672
17863, 1, 140422857744760
17891, 1, 49720
17840, 1, 49664
17847, 1, 49672
17863, 1, 140422857744760
19181, 2, 49728
19193, 2, 49664
19212, 2, 140422857744752
19219, 2, 140422857744760
19223, 2, 49728
19248, 2, 49712
19268, 2, 49712
18807, 2, 140422858789408
18816, 2, 140422858789404
18822, 2, 49708
17891, 1, 49720
17840, 1, 49664
17847, 1, 49672
17863, 1, 140422857744760
17872, 1, 140422857744752
17937, 1, 49712
17949, 1, 49664
17956, 1, 140422857744752
17973, 1, 49712
17988, 1, 49704
18002, 1, 49720
18008, 1, 32808
18015, 1, 140731404863008
18034, 1, 140731404863008
18048, 1, 49720
18061, 1, 49708
18082, 1, 49736
18099, 1, 49704
18108, 1, 32808
18115, 1, 140731404863008
18816, 2, 140422858789404
18822, 2, 49708
18816, 2, 140422858789404
18822, 2, 49708
19295, 2, 140422858789408
