16064, 2, 123141043613616, 0, 1
16065, 2, 0, 0, 0
16068, 2, 0, 0, 0
16070, 2, 123141043613608, 0, 1
16074, 2, 32800, 0, 1
16084, 2, 123141043613616, 1, 0
16085, 2, 123141043613624, 1, 0
16000, 1, 123141043077040, 0, 1
16001, 1, 0, 0, 0
16004, 1, 0, 0, 0
16008, 1, 123141043077032, 0, 1
16012, 1, 32800, 1, 0
16018, 1, 0, 0, 0
16027, 1, 0, 0, 0
16034, 1, 0, 0, 0
16036, 1, 123141043077016, 0, 1
16256, 1, 123141043077008, 0, 1
16240, 1, 0, 0, 0
16247, 1, 123141043077000, 0, 1
16041, 1, 0, 0, 0
16043, 1, 0, 0, 0
16047, 1, 123141043077040, 1, 0
16048, 1, 123141043077048, 1, 0
