18807, 2
18807, 2
18816, 2
18822, 2
18807, 2
17764, 1
17805, 1
18872, 2
18876, 2
17840, 1
17847, 1
17863, 1
18816, 2
18822, 2
18872, 2
18876, 2
18816, 2
18822, 2
18872, 2
18876, 2
18816, 2
18912, 2
18916, 2
18919, 2
18923, 2
18927, 2
18931, 2
18935, 2
18946, 2
18965, 2
18969, 2
18975, 2
18986, 2
18993, 2
19002, 2
19049, 2
19057, 2
19072, 2
19099, 2
17891, 1
19111, 2
17840, 1
17847, 1
17863, 1
17891, 1
17840, 1
17847, 1
17863, 1
17891, 1
17840, 1
17847, 1
17863, 1
19181, 2
19193, 2
19212, 2
19219, 2
19223, 2
19248, 2
19268, 2
18807, 2
18816, 2
18822, 2
17891, 1
17840, 1
17847, 1
17863, 1
17872, 1
17937, 1
17949, 1
17956, 1
17973, 1
17988, 1
18002, 1
18008, 1
18015, 1
18034, 1
18048, 1
18061, 1
18082, 1
18099, 1
18108, 1
18115, 1
18816, 2
18822, 2
18816, 2
18822, 2
19295, 2
